,Value,Device,Package,Description,DIGIKEY,MOUSER,RICHARDSON_RFPD
S1,B3U-1000P,B3U-1000P,B3U-1000P,Switch,SW1020CT-ND,,
U1,NRF51822QF,NRF51822QF,QFN-48-6MM,Multiprotocol Bluetooth® 4.0 low energy/2.4 GHz RF SoC,1490-1032-1-ND,949-NRF51822-QFAB-R7,
U2,LTC4065,LTC4065,DFN-6/2MM,LION/LIPO Battery Charging IC Low current,LTC4065LEDC#TRMPBFCT-ND,,
U3,,LMP91000,WFDFN-14,IC TI AFE for Gas Sensing,LMP91000SDE/NOPBCT-ND,,
U4,TPS715AXX,TPS715AXX,WDFN-6,80ma LDO Regulator. Very low quiescent current. Always active.,296-22584-1-ND,,
U5,LPS25H,LPS25H,LPS25H,ST-Micro Piezoresistive pressure sensor,497-14380-1-ND,,
U6,1.8V,ISL60002,ISL60002,Low Power Voltage Reference SOT23-3,ISL60002BIH318Z-TKCT-ND ,,
U7,SPECSENSOR,SPECSENSOR,SPEC2,,,,
X1,16MHz,TXC-8Y,TXC-8Y,2mmx1.6mm SMD Crystal,887-2003-1-ND,,
X2,ABS05-32.768KHZ-9-T,ABS05-32.768KHZ-9-T,ABS05,32.768kHz Crystal,535-11897-1-ND,,
